Filename                                                                                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/PostOrderCFGView.h                                      24                24     0.00%          16                16     0.00%          34                34     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ReachableCode.h                                          1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ThreadSafety.h                                          18                18     0.00%          18                18     0.00%          18                18     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ThreadSafetyCommon.h                                   134               134     0.00%          50                50     0.00%         175               175     0.00%          78                78     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ThreadSafetyTIL.h                                      461               461     0.00%         307               307     0.00%         594               594     0.00%          70                70     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ThreadSafetyTraverse.h                                 561               561     0.00%          69                69     0.00%         497               497     0.00%         338               338     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/ThreadSafetyUtil.h                                      95                95     0.00%          44                44     0.00%         119               119     0.00%          28                28     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/UninitializedValues.h                                   27                27     0.00%          13                13     0.00%          20                20     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Analyses/UnsafeBufferUsage.h                                     25                25     0.00%          10                10     0.00%          24                24     0.00%          10                10     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/AnalysisDeclContext.h                                            56                56     0.00%          42                42     0.00%          74                74     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/AnyCall.h                                                       121               121     0.00%          23                23     0.00%         108               108     0.00%          64                64     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/BodyFarm.h                                                        3                 3     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/CFG.h                                                           354               354     0.00%         277               277     0.00%         543               543     0.00%          36                36     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/CFGStmtMap.h                                                      4                 4     0.00%           2                 2     0.00%           4                 4     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Analysis/CallGraph.h                                                      57                57     0.00%          48                48     0.00%         100               100     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/CloneDetection.h                                                 46                46     0.00%          25                25     0.00%          91                91     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/ConstructionContext.h                                           188               188     0.00%          86                86     0.00%         230               230     0.00%          54                54     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/FlowSensitive/DataflowWorklist.h                                 25                25     0.00%          11                11     0.00%          36                36     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/PathDiagnostic.h                                                210               210     0.00%         115               115     0.00%         267               267     0.00%          48                48     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/ProgramPoint.h                                                  191               191     0.00%         127               127     0.00%         301               301     0.00%          30                30     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/RetainSummaryManager.h                                          130               130     0.00%          65                65     0.00%         208               208     0.00%          36                36     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/SelectorExtras.h                                                  5                 5     0.00%           2                 2     0.00%          11                11     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/Analysis/Support/BumpVector.h                                             52                52     0.00%          29                29     0.00%         111               111     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/Basic/AddressSpaces.h                                                      9                 9     0.00%           4                 4     0.00%          15                15     0.00%           6                 6     0.00%
home/jon/llvm-project/clang/include/clang/Basic/AlignedAllocation.h                                                 10                10     0.00%           1                 1     0.00%          17                17     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/Basic/AttributeCommonInfo.h                                              125               125     0.00%          47                47     0.00%          97                97     0.00%          36                36     0.00%
home/jon/llvm-project/clang/include/clang/Basic/Builtins.h                                                          34                34     0.00%          28                28     0.00%          78                78     0.00%          12                12     0.00%
home/jon/llvm-project/clang/include/clang/Basic/CharInfo.h                                                          70                70     0.00%          24                24     0.00%         134               134     0.00%          50                50     0.00%
home/jon/llvm-project/clang/include/clang/Basic/CodeGenOptions.h                                                    41                41     0.00%          18                18     0.00%          54                54     0.00%          34                34     0.00%
home/jon/llvm-project/clang/include/clang/Basic/CommentOptions.h                                                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/Cuda.h                                                               6                 6     0.00%           2                 2     0.00%           7                 7     0.00%           8                 8     0.00%
home/jon/llvm-project/clang/include/clang/Basic/CustomizableOptional.h                                              39                39     0.00%          21                21     0.00%          43                43     0.00%          16                16     0.00%
home/jon/llvm-project/clang/include/clang/Basic/DarwinSDKInfo.h                                                     27                27     0.00%          12                12     0.00%          49                49     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/Basic/Diagnostic.h                                                       273               273     0.00%         184               184     0.00%         548               548     0.00%          48                48     0.00%
home/jon/llvm-project/clang/include/clang/Basic/DiagnosticError.h                                                    8                 8     0.00%           7                 7     0.00%          18                18     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/DiagnosticIDs.h                                                     18                18     0.00%          16                16     0.00%          45                45     0.00%           4                 4     0.00%
home/jon/llvm-project/clang/include/clang/Basic/DiagnosticOptions.h                                                 53                53     0.00%           6                 6     0.00%          21                21     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/DirectoryEntry.h                                                    34                34     0.00%          27                27     0.00%          68                68     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/ExceptionSpecificationType.h                                        19                19     0.00%           6                 6     0.00%          21                21     0.00%          20                20     0.00%
home/jon/llvm-project/clang/include/clang/Basic/FileEntry.h                                                         80                80     0.00%          49                49     0.00%         109               109     0.00%          18                18     0.00%
home/jon/llvm-project/clang/include/clang/Basic/FileManager.h                                                        9                 9     0.00%           9                 9     0.00%          21                21     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/FileSystemStatCache.h                                                3                 3     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/HLSLRuntime.h                                                        4                 4     0.00%           1                 1     0.00%           7                 7     0.00%           2                 2     0.00%
home/jon/llvm-project/clang/include/clang/Basic/HeaderInclude.h                                                     14                14     0.00%           4                 4     0.00%          35                35     0.00%          14                14     0.00%
home/jon/llvm-project/clang/include/clang/Basic/IdentifierTable.h                                                  239               239     0.00%         105               105     0.00%         375               375     0.00%          88                88     0.00%
home/jon/llvm-project/clang/include/clang/Basic/JsonSupport.h                                                       51                51     0.00%           4                 4     0.00%          76                76     0.00%          30                30     0.00%
home/jon/llvm-project/clang/include/clang/Basic/LangOptions.h                                                      133               133     0.00%          68                68     0.00%         249               249     0.00%          78                78     0.00%
home/jon/llvm-project/clang/include/clang/Basic/LangStandard.h                                                      19                19     0.00%          19                19     0.00%          19                19     0.00%           0                 0         -
home/jon/llvm-project/clang/include/clang/Basic/Linkage.h                                                           34                34     0.00%           6                 6     0.00%          45                45     0.00%          36                36     0.00%
